Id,Prediction
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,1
447,1
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,1
553,1
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,0
569,1
570,0
571,0
572,0
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,0
597,1
598,1
599,0
600,0
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,0
692,1
693,1
694,0
695,1
696,1
697,1
698,0
699,1
700,1
701,0
702,1
703,1
704,1
705,0
706,1
707,1
708,0
709,0
710,0
711,1
712,0
713,1
714,1
715,1
716,0
717,0
718,1
719,1
720,0
721,1
722,1
723,0
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,1
741,1
742,0
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,0
797,1
798,0
799,0
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,0
809,1
810,1
811,0
812,1
813,1
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,1
822,1
823,1
824,0
825,0
826,1
827,1
828,1
829,0
830,0
831,0
832,0
833,0
834,1
835,1
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,0
845,1
846,1
847,0
848,0
849,1
850,1
851,0
852,0
853,1
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,0
862,1
863,0
864,1
865,0
866,0
867,0
868,1
869,0
870,1
871,0
872,0
873,0
874,1
875,1
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,1
903,0
904,0
905,0
906,1
907,0
908,0
909,1
910,1
911,0
912,0
913,1
914,0
915,1
916,1
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,0
929,0
930,0
931,0
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,1
944,1
945,0
946,0
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,0
961,0
962,0
963,1
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,1
975,0
976,0
977,1
978,1
979,1
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,1
991,1
992,0
993,0
994,0
995,0
996,1
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,1
1010,0
1011,1
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,0
1030,0
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
1059,1
1060,1
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,1
1068,1
1069,1
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,0
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,1
1095,1
1096,0
1097,1
1098,1
1099,0
1100,1
1101,0
1102,1
1103,0
1104,0
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,0
1117,0
1118,0
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,0
1149,1
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,1
1194,1
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,1
1203,0
1204,1
1205,1
1206,1
1207,1
1208,1
1209,0
1210,1
1211,0
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,1
1222,0
1223,0
1224,1
1225,1
1226,1
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,0
1240,1
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,1
1248,1
1249,1
1250,1
1251,1
1252,0
1253,1
1254,0
1255,1
1256,1
1257,0
1258,0
1259,1
1260,0
1261,1
1262,0
1263,1
1264,0
1265,1
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,0
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,0
1286,1
1287,0
1288,1
1289,0
1290,0
1291,1
1292,0
1293,1
1294,0
1295,0
1296,1
1297,1
1298,1
1299,0
1300,1
1301,1
1302,1
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,1
1310,1
1311,0
1312,0
1313,1
1314,0
1315,1
1316,0
1317,1
1318,0
1319,1
1320,0
1321,1
1322,0
1323,1
1324,0
1325,0
1326,1
1327,0
1328,0
1329,1
1330,1
1331,1
1332,1
1333,0
1334,0
1335,1
1336,1
1337,0
1338,1
1339,1
1340,1
1341,0
1342,1
1343,1
1344,1
1345,1
1346,0
1347,1
1348,0
1349,1
1350,0
1351,1
1352,0
1353,0
1354,0
1355,0
1356,1
1357,0
1358,1
1359,0
1360,1
1361,0
1362,0
1363,1
1364,1
1365,1
1366,0
1367,1
1368,0
1369,0
1370,1
1371,0
1372,0
1373,0
1374,1
1375,0
1376,0
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,1
1384,1
1385,1
1386,1
1387,1
1388,0
1389,0
1390,0
1391,1
1392,0
1393,0
1394,0
1395,1
1396,1
1397,0
1398,1
1399,1
1400,1
1401,1
1402,1
1403,0
1404,0
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,0
1416,1
1417,0
1418,1
1419,1
1420,0
1421,0
1422,0
1423,0
1424,1
1425,0
1426,1
1427,1
1428,1
1429,0
1430,0
1431,0
1432,0
1433,1
1434,0
1435,1
1436,1
1437,1
1438,0
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,0
1446,1
1447,1
1448,0
1449,1
1450,0
1451,1
1452,1
1453,0
1454,1
1455,1
1456,0
1457,1
1458,0
1459,0
1460,0
1461,1
1462,0
1463,1
1464,0
1465,0
1466,1
1467,1
1468,0
1469,0
1470,1
1471,1
1472,0
1473,1
1474,0
1475,0
1476,0
1477,1
1478,1
1479,1
1480,0
1481,0
1482,1
1483,1
1484,0
1485,0
1486,1
1487,0
1488,1
1489,0
1490,0
1491,1
1492,0
1493,0
1494,0
1495,1
1496,1
1497,1
1498,0
1499,1
1500,1
1501,1
1502,1
1503,0
1504,0
1505,0
1506,1
1507,1
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,1
1518,1
1519,0
1520,0
1521,1
1522,0
1523,0
1524,0
1525,0
1526,0
1527,1
1528,0
1529,0
1530,1
1531,0
1532,0
1533,0
1534,1
1535,1
1536,0
1537,0
1538,1
1539,1
1540,1
1541,0
1542,0
1543,0
1544,1
1545,0
1546,1
1547,0
1548,1
1549,1
1550,1
1551,0
1552,0
1553,0
1554,1
1555,1
1556,1
1557,0
1558,0
1559,0
1560,1
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,1
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,1
1577,0
1578,1
1579,1
1580,1
1581,1
1582,0
1583,0
1584,0
1585,1
1586,0
1587,1
1588,1
1589,0
1590,0
1591,0
1592,0
1593,1
1594,1
1595,0
1596,1
1597,0
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,0
1606,1
1607,1
1608,0
1609,0
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,0
1619,0
1620,0
1621,0
1622,0
1623,1
1624,0
1625,1
1626,1
1627,0
1628,0
1629,1
1630,1
1631,1
1632,0
1633,0
1634,1
1635,1
1636,1
1637,1
1638,1
1639,0
1640,0
1641,0
1642,0
1643,1
1644,0
1645,0
1646,1
1647,0
1648,0
1649,1
1650,1
1651,1
1652,1
1653,0
1654,1
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,1
1662,0
1663,1
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,1
1671,1
1672,1
1673,0
1674,1
1675,0
1676,0
1677,1
1678,0
1679,0
1680,0
1681,1
1682,1
1683,0
1684,1
1685,1
1686,0
1687,0
1688,0
1689,0
1690,1
1691,1
1692,0
1693,0
1694,1
1695,1
1696,1
1697,0
1698,0
1699,0
1700,0
1701,0
1702,1
1703,0
1704,0
1705,0
1706,0
1707,0
1708,1
1709,1
1710,1
1711,0
1712,0
1713,0
1714,1
1715,1
1716,0
1717,1
1718,1
1719,1
1720,0
1721,0
1722,1
1723,0
1724,1
1725,1
1726,0
1727,1
1728,1
1729,0
1730,0
1731,0
1732,0
1733,0
1734,1
1735,0
1736,1
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,1
1745,0
1746,0
1747,1
